Student_ID,Full_Name,Date_of_Birth,Grade_Level,Emergency_Contact,Age,Age_Band,Has_Valid_Contact
S00001,Donna Williams,2007-02-10,Grade 3,781-534-4258x9046,18.0,15-19,True
S00002,John Stafford,2014-11-26,Grade 5,+1-782-691-6291x99704,10.0,0-14,True
S00003,Chad Harper,2017-02-07,Grade 3,308.517.3750,8.0,0-14,True
S00004,Anthony Martin,,Grade 5,306-771-1524x116,,Unknown,True
S00005,Mary Stone,,Grade 3,+1-794-484-8495x7772,,Unknown,True
S00006,Joe Wells,2017-06-29,Grade 2,+1-933-864-5644x501,7.0,0-14,True
S00007,Margaret Nixon,2009-12-04,Grade 4,706.708.0421x412,15.0,15-19,True
S00008,James Wheeler,2011-01-25,Grade 1,(605)818-0057x877,14.0,0-14,True
S00009,Benjamin Cook,2007-10-04,Grade 4,(489)503-7511x611,17.0,15-19,True
S00010,Aaron Callahan,2012-02-18,Grade 4,Not Provided,13.0,0-14,True
S00011,Christopher Church,2008-02-23,Grade 1,Not Provided,17.0,15-19,True
S00012,Jonathan Solis,2016-07-07,Grade 1,+1-534-253-4789x8656,8.0,0-14,True
S00013,Robert Sanders,2008-04-30,Grade 2,+1-637-642-1016x7779,17.0,15-19,True
S00014,Melanie Gilmore,2006-08-19,Grade 4,001-569-842-8327x8506,18.0,15-19,True
S00015,Alexandria Wallace,2006-06-21,Grade 2,+1-283-259-6520x7061,19.0,15-19,True
S00016,Ann Wilkerson,2007-09-02,Grade 3,+1-735-270-0046x90671,17.0,15-19,True
S00017,Kelly Delgado,2015-06-28,Grade 2,001-993-871-2154x45650,9.0,0-14,True
S00018,Michael Baker,2008-07-21,Grade 1,+1-266-564-5904x54580,16.0,15-19,True
S00019,Jennifer Adams,2015-01-03,Grade 4,001-209-613-8159,10.0,0-14,True
S00020,Elizabeth Lopez,2016-04-21,Grade 3,001-436-781-9737x4414,9.0,0-14,True
S00021,Patricia Atkins,2019-01-07,Grade 5,(908)400-6429x947,6.0,0-14,True
S00022,Justin Wright,2010-06-25,Grade 2,975-914-9462x2990,15.0,15-19,True
S00023,Justin Sandoval,,Grade 1,898-679-5228,,Unknown,True
S00024,Kimberly Massey,2008-05-05,Grade 3,+1-888-444-9025,17.0,15-19,True
S00025,Theresa Marsh,2009-04-18,Grade 2,676-696-6482,16.0,15-19,True
S00026,Todd Noble,2006-05-03,Grade 3,(730)399-1378,19.0,15-19,True
S00027,Jonathan Cline,2009-03-13,Grade 3,903.336.7816,16.0,15-19,True
S00028,Diana Fitzpatrick,2008-09-12,Grade 5,468-329-0737,16.0,15-19,True
S00029,Brandi Winters,2007-01-14,Grade 3,001-223-628-6249,18.0,15-19,True
S00030,Vincent Harrison,2013-01-26,Grade 3,+1-795-919-8159,12.0,0-14,True
S00031,Michael May,2009-01-13,Grade 4,+1-375-642-0607x9672,16.0,15-19,True
S00032,Katherine Chang,2010-09-03,Grade 4,+1-435-617-1689x00179,14.0,0-14,True
S00033,Kenneth Levine,2019-01-15,Grade 1,(529)506-0532,6.0,0-14,True
S00034,Melissa Cohen,2016-08-20,Grade 1,(955)737-4295,8.0,0-14,True
S00035,Pamela Lambert,2010-11-06,Grade 2,5913609003,14.0,0-14,True
S00036,James Stewart,2010-10-03,Grade 3,462.769.5212x47777,14.0,0-14,True
S00037,Rebecca Barr,2007-04-24,Grade 1,001-819-332-6636x418,18.0,15-19,True
S00038,Brandi Carroll,,Grade 1,(939)450-3967x848,,Unknown,True
S00039,Jordan Jenkins,2018-12-16,Grade 1,(393)709-1081,6.0,0-14,True
S00040,Frank Douglas,2017-08-22,Grade 5,(561)402-3053,7.0,0-14,True
S00041,Robert Walters,2017-03-28,Grade 1,001-574-742-1671x902,8.0,0-14,True
S00042,Timothy Russell,2010-02-03,Grade 3,(714)571-0022x0344,15.0,15-19,True
S00043,Amanda Davis,2008-01-17,Grade 2,Not Provided,17.0,15-19,True
S00044,Vicki Whitaker,2013-10-16,Grade 1,542.861.3947,11.0,0-14,True
S00045,Melanie Martinez,,Grade 5,(733)606-6480,,Unknown,True
S00046,Michael Pennington,2012-03-08,Grade 1,+1-557-976-2931x631,13.0,0-14,True
S00047,Deborah Robinson,2012-07-19,Grade 1,644-521-8876,12.0,0-14,True
S00048,Jonathon Ortiz,,Grade 2,3838713344,,Unknown,True
S00049,David Soto,2015-05-06,Grade 2,890.344.3191x4523,10.0,0-14,True
S00050,Alex Evans,2006-10-05,Grade 2,(320)202-0791x71781,18.0,15-19,True
S00051,Jesse Hayes,2015-02-16,Grade 5,001-488-514-9535x46355,10.0,0-14,True
S00052,Robert Fox,2009-02-16,Grade 4,810.814.1294x88853,16.0,15-19,True
S00053,Brian Meyer,,Grade 4,+1-391-973-1573x4962,,Unknown,True
S00054,Thomas Morales,2017-09-30,Grade 2,(901)568-5838,7.0,0-14,True
S00055,Susan Miller,2012-07-18,Grade 4,627.294.0839x30853,12.0,0-14,True
S00056,Victoria Lewis,,Grade 3,Not Provided,,Unknown,True
S00057,Robert Foster,2012-07-02,Grade 5,9737272308,12.0,0-14,True
S00058,Steven Donovan,2017-06-06,Grade 5,001-309-741-6530x084,8.0,0-14,True
S00059,Kiara Meadows,2008-02-03,Grade 2,526.873.3321,17.0,15-19,True
S00060,Shawn Carroll,2007-08-27,Grade 3,+1-284-997-6975x318,17.0,15-19,True
S00061,Kent Davenport,2012-08-05,Grade 4,001-974-818-4092,12.0,0-14,True
S00062,Jason Clark,2018-07-22,Grade 3,Not Provided,6.0,0-14,True
S00063,Jason Marquez,2016-08-01,Grade 2,672-207-7384,8.0,0-14,True
S00064,Danielle Curtis,2012-04-12,Grade 3,+1-937-502-0746x53513,13.0,0-14,True
S00065,Laura Stanley,2015-12-13,Grade 2,840.935.3883,9.0,0-14,True
S00066,Wyatt Nelson,2010-01-10,Grade 5,(938)496-2179x2337,15.0,15-19,True
S00067,Philip Hill,2015-02-02,Grade 1,001-265-765-8985x04502,10.0,0-14,True
S00068,Robert Clark,2017-09-09,Grade 3,646.995.0750,7.0,0-14,True
S00069,William Ford,2011-03-11,Grade 5,677-294-1469x96297,14.0,0-14,True
S00070,Martin Bennett Md,,Grade 1,447-214-4052,,Unknown,True
S00071,Madison Ellis,2012-06-16,Grade 4,929-669-3154,13.0,0-14,True
